X,Y,OBJECTID,PROJECT_NAME,ASSET_CATEGORY,PRACTICE_TYPE,CREDIT_RECEIVED,ACRES_MANAGED,DESCRIPTION,DESIGNER,INSTALLER,MAINTAINER,MEDIA_URL,ADDITIONAL_PRACTICETYPE,GALLONS_MANAGED_MG,PRACTICE_AREA,NEIGHBORHOOD,PROJECT_REASON,DESIGN_DATE,PROJECT_COST,MAINTENANCE_COST,MAX_DEPTH,UNDERDRAIN,PIPE_DIAMETER,STORM_EVENT_SIZE,CONSTRUCTION_START,OWNER_TYPE,INVERT_PIPE_in,Latitude,Longitude,GlobalID,DISTRICT,MEDIA_URL2,MEDIA_URL3,VIDEO_URL,Project_Page_URL,DOC_URL2,DOC_URL1,Num_RainBarrells,Size_RainBarrel,Downspout_RainBarrel,Purpose_RainBarrels,Installation_Date,OTHER_PRACTICETYPE,Secondary_Project_Reason,Project_Engineer,DEPTH
-9261458.5069,5224730.126,756,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.99,This is a diconnected impervious project located in Winship. ,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.802,,Winship,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,4a6394b1-d50b-467f-a79c-af822da7ffc0,District 2,,,,https://detroitstormwater.org/projects/project-id-756,,,,,,,1970/01/01 00:00:00+00,,,,
-9261382.4293,5227453.217,757,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.72,This is a Disconnected Impervious project located in Schaefer 7/8 Lodge.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.598,,Schaefer 7/8 Lodge,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,e556b01e-0614-411a-b2a9-3c68e6ed7e30,District 2,,,,https://detroitstormwater.org/projects/project-id-757,,,,,,,1970/01/01 00:00:00+00,,,,
-9257215.6682,5202189.2182,758,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.92,This is a Diconnected Impervious project in Boynton.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.73,,Boynton,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,b30d7496-067f-480f-b3a1-e7851a6f4150,District 6,,,,https://detroitstormwater.org/projects/project-id-758,,,,,,,1970/01/01 00:00:00+00,,,,
-9233803.70637929,5221973.54073443,759,Bethany Lutheran - Land + Water Works Rain Garden,Private - No Credit,Multiple,No,0.057,"This bioretention rain garden is one of the Land + Water Works rain gardens installed in 2018.  These rain gardens, of course, serve the purpose of managing storm water that flows from the roof via the disconnected downspouts, but also to educate members of the church, their guests and the community about the problems of stormwater runoff and sewer overflows and how these green infrastructure practices help to with water quality.  This project was generous funded by the Erb Family Foundation.  ","Cyndi Ross - Friends of the Rouge; Vance Thornton - Bethany Lutheran Church",Friends of the Rouge / Sierra Club Michigan Chapter / Bethany Lutheran Church,Bethany Lutheran Church,,"Bioretention,DownspoutDisconnection",0.021,420,Morningside,Environmental Benefits,2018/10/10 04:00:00+00,1000,100,,No,,,2018/10/19 04:00:00+00,Faith-Based,,42.40588,-82.94867,c29ca75e-1e82-4c09-8235-21dce98ab18a,District 4,,,,https://detroitstormwater.org/projects/bethany-lutheran-land-water-works-rain-garden,,,,,,,1970/01/01 00:00:00+00,,,NA,Medium
-9267142.66158612,5226466.89882003,761,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.18,This is a Disconnected Impervious project located in Evergreen Lahser 7/8.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.142,,Evergreen Lahser 7/8,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,,,,,37eeb690-db2e-445e-a893-775ffe46e072,District 1,,,,https://detroitstormwater.org/projects/drainage-credit-project-120,,,,,,,1970/01/01 00:00:00+00,,,,
-9252662.9425,5210123.2844,764,Drainage Credit Project,Drainage Credit,Downspout Disconnection,Yes,0.02,This is a Disconnected Downspout practice in Michigan Martin.,,,,https://dwsd.box.com/shared/static/vbqn7i8cguclnlwfk47h14avfahl8ing.jpg,,0.009,,Michigan Martin,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Faith-Based,,,,7d561a37-407a-47c9-bb8b-7f6e0fbff5b2,District 6,,,,https://detroitstormwater.org/projects/drainage-credit-project-122,,,,,,,1970/01/01 00:00:00+00,,,,
-9252655.744,5210110.3851,765,Drainage Credit Project,Drainage Credit,Downspout Disconnection,Yes,0.01,This is a Disconnected Downspout practice in Michigan Martin.,,,,https://dwsd.box.com/shared/static/vbqn7i8cguclnlwfk47h14avfahl8ing.jpg,,0.006,,Michigan Martin,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Faith-Based,,,,71530c26-0460-4a32-907e-bfe78d9a1c95,District 6,,,,https://detroitstormwater.org/projects/drainage-credit-project-124,,,,,,,1970/01/01 00:00:00+00,,,,
-9242067.3278,5212822.4065,766,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.12,This is a Diconnected Impervious project in Elmwood Park.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.101,,Elmwood Park,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,5703fa97-0009-47da-a03d-350cc657bbb5,District 5,,,,https://detroitstormwater.org/projects/drainage-credit-project-121,,,,,,,1970/01/01 00:00:00+00,,,,
-9242256.822,5212768.9968,767,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.12,This is a Diconnected Impervious project in Elmwood Park.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.095,,Elmwood Park,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,185ba9a0-e381-447b-bc1c-b4f989363688,District 5,,,,https://detroitstormwater.org/projects/drainage-credit-project-123,,,,,,,1970/01/01 00:00:00+00,,,,
-9257965.3909,5226790.5785,768,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.85,This is a Diconnected Impervious project in McDowell.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.613,,McDowell,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,7a0744cc-bf9a-4247-b15a-f4028593efaa,District 2,,,,https://detroitstormwater.org/projects/drainage-credit-project-125,,,,,,,1970/01/01 00:00:00+00,,,,
